신고/허가번호,업소명,업종,업태,소재지(지번),소재지(도로명),전화번호,신고/허가일,영업장면적-조리장(㎡),영업장면적-객실(㎡),영업장면적-객석(㎡),영업장면적-갱의실(㎡),영업장면적-무도장(㎡),영업장면적-기타(㎡),화장실(업소내)(㎡),면적_작업장(㎡),면적_검사실(㎡),영업장면적_취식장(㎡),사무실면적(㎡),영업장진열판매면적(㎡),영업장창고보관면적(㎡)
20070126003,지코바숯불치킨,일반음식점,통닭(치킨),부산광역시 중구 동광동5가 3번지 175호 (1층),"부산광역시 중구 중구로 148, 1층 (동광동5가)",051-441-7300,2007-01-05,15.8,,45.3,,,,4.8,0,0,0,0,0,0
20070126160,김해통닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 18번지 15호 (1층),"부산광역시 중구 부평1길 38, 1층 (부평동2가)",051-246-0732,2007-09-03,3.6,,23.8,,,,1.56,0,0,0,0,0,0
20070126165,꼬레아치킨,일반음식점,통닭(치킨),부산광역시 중구 영주동 161번지 상가 105호,"부산광역시 중구 영주로 49, 105호 (영주동, 금호타운상가)",051-466-9282,2007-09-04,16,,12,,,,,0,0,0,0,0,0
20090126091,치킨신드롬,일반음식점,통닭(치킨),부산광역시 중구 보수동1가 101번지 5호 (1층),"부산광역시 중구 대청로53번길 7, 1층 (보수동1가)",051-242-7982,2009-05-14,13.2,,23.76,,,,,0,0,0,0,0,0
20090126104,네네치킨,일반음식점,통닭(치킨),부산광역시 중구 보수동3가 72번지 2호 (1층),"부산광역시 중구 대청로25번길 4, 1층 (보수동3가)",,2009-06-01,4,,44,,,,3,0,0,0,0,0,0
20090126178,칠칠켄터키치킨,일반음식점,통닭(치킨),부산광역시 중구 남포동2가 22번지 4호 외 1번지 (1층),"부산광역시 중구 남포길 24, 1층 (남포동2가, 외 1번지)",051-241-7792,2009-08-26,17.6,0,95,0,0,0,9.87,0,0,0,0,0,0
20090126184,아닥치킨,일반음식점,통닭(치킨),부산광역시 중구 보수동3가 74번지 8호 (1층),"부산광역시 중구 대청로 21, 1층 (보수동3가)",,2009-09-03,3,,15,,,,,0,0,0,0,0,0
20090126262,나는조선의떡볶이다,일반음식점,통닭(치킨),부산광역시 중구 영주동 60번지 31호,"부산광역시 중구 대영로215번길 1, (영주동)",051-441-9792,2009-11-18,6.4,0,6.1,0,0,0,0,0,0,0,0,0,0
20090126397,다기야,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 37번지 8호 (1층),"부산광역시 중구 광복로6번길 11, 1층 (부평동2가)",,2009-12-30,18,,115.35,,,2.25,10.8,0,0,0,0,0,0
20100126056,간빠이,일반음식점,통닭(치킨),부산광역시 중구 남포동2가 23번지 1호 외 3필지 (2층),"부산광역시 중구 남포길 28, 2층 (남포동2가, 외 3필지)",051-231-6992,2010-03-02,30.66,,122.76,,,,,0,0,0,0,0,0
20100126070,맥시칸치킨,일반음식점,통닭(치킨),부산광역시 중구 대청동4가 85번지 1호 (2층),"부산광역시 중구 중구로 90, 2층 (대청동4가)",051-465-3787,2010-03-19,6.21,,6.76,,,,,0,0,0,0,0,0
20100126085,영주대청점굽네치킨,일반음식점,통닭(치킨),부산광역시 중구 영주동 536번지 98호,"부산광역시 중구 동영로 24, (영주동)",051-464-9294,2010-04-01,,,,,,,,,,,,,
20100126344,호식이두마리치킨(영주점),일반음식점,통닭(치킨),부산광역시 중구 동광동5가 20번지 27호 (1층),"부산광역시 중구 샘길 20, 1층 (동광동5가)",,2010-12-07,,,,,,37.4,,0,0,0,0,0,0
20130126037,투윙,일반음식점,통닭(치킨),"부산광역시 중구 부평동2가 18번지 2호 101-1호, 부평동공영주차장","부산광역시 중구 중구로33번길 32, 101-1호 (부평동2가, 부평동공영주차장)",,2013-02-27,2,0,13.97,0,0,0,0,0,0,0,0,0,0
20130126109,미정통닭·강정,일반음식점,통닭(치킨),부산광역시 중구 보수동1가 25번지 4호,"부산광역시 중구 흑교로 88-1, (보수동1가)",,2013-04-22,4.97,,10.11,,,,,0,0,0,0,0,0
20130126117,교촌치킨 영주대청점,일반음식점,통닭(치킨),부산광역시 중구 대청동4가 82번지 13호 부성빌딩 2층,"부산광역시 중구 중구로 70-1, 2층 (대청동4가, 부성빌딩)",,2013-04-30,22.21,,11.5,,,4.24,,0,0,0,0,0,0
20130126214,닭짱,일반음식점,통닭(치킨),부산광역시 중구 부평동1가 29번지 35호 1층,"부산광역시 중구 중구로29번길 14, 1층 (부평동1가)",051-231-0463,2013-09-12,8.46,0,35,0,0,0,2.93,0,0,0,0,0,0
20140126114,쏙닭쏙닭,일반음식점,통닭(치킨),부산광역시 중구 동광동5가 36번지 3호,"부산광역시 중구 동광길 77, 1층 (동광동5가)",,2014-04-16,4.32,7.68,18.55,0,0,6.66,2.34,0,0,0,0,0,0
20140126163,홈피자,일반음식점,통닭(치킨),부산광역시 중구 부평동3가 60번지 1호 1층 일부,"부산광역시 중구 보수대로44번길 6-2, 1층 (부평동3가)",051-246-8482,2014-05-26,16.73,0,7.17,0,0,0,0,0,0,0,0,0,0
20140126243,BHC대청점,일반음식점,통닭(치킨),부산광역시 중구 대청동2가 22번지 1호 (호두스토리2층),"부산광역시 중구 대청로 94-1, 2층 (대청동2가)",,2014-08-13,16.1,0,29.9,0,0,1.1,0,0,0,0,0,0,0
20140126338,또래오래 대청점,일반음식점,통닭(치킨),"부산광역시 중구 동광동4가 23번지 1호 외4필지(22-4,24-2,24-4,대청동1가38-2)","부산광역시 중구 대청로 127, 2층 (동광동4가)",,2014-10-07,8.4,0,18.6,0,0,0,0,0,0,0,0,0,0
20150126048,브이통닭,일반음식점,통닭(치킨),"부산광역시 중구 부평동2가 12번지 35호 ,12-9","부산광역시 중구 부평1길 56, 1층 (부평동2가)",051-245-4391,2015-03-13,10.59,,15.73,,,10.49,,0,0,0,0,0,0
20150126065,국제통닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 12번지 4호,"부산광역시 중구 중구로47번길 33-1, (부평동2가)",,2015-03-30,8.78,0,44.19,0,0,0,2.75,0,0,0,0,0,0
20150126080,옛날산골두마리통닭,일반음식점,통닭(치킨),부산광역시 중구 영주동 31번지 14호,"부산광역시 중구 대영로243번길 4-1, 1층 (영주동)",,2015-04-07,7.46,0,5.03,0,0,22.18,0,0,0,0,0,0,0
20150126092,초록쌀통닭,일반음식점,통닭(치킨),부산광역시 중구 부평동2가 12번지 32호,"부산광역시 중구 부평1길 58, 1층 (부평동2가)",,2015-04-20,3.93,0,38.4,0,0,0,3.87,0,0,0,0,0,0
19740128017,지코바,일반음식점,통닭(치킨),부산광역시 서구 암남동 191번지 1호 1층,"부산광역시 서구 송도해변로 125, 1층 (암남동)",,1974-08-07,,,69.4,,,,,0,0,0,0,0,0
19830128021,닭굽는 마을,일반음식점,통닭(치킨),부산광역시 서구 남부민동 434번지 156호,"부산광역시 서구 천해로 10, (남부민동)",,1983-07-28,0,0,49.89,0,0,0,0,0,0,0,0,0,0
19830128028,김해통닭,일반음식점,통닭(치킨),부산광역시 서구 부민동1가 18번지 1호,"부산광역시 서구 구덕로214번길 10, (부민동1가)",,1983-09-29,0,0,48.51,0,0,0,0,0,0,0,0,0,0
19840128038,뉴거인통닭,일반음식점,통닭(치킨),부산광역시 서구 아미동2가 1번지 3호 (대학3로 15),"부산광역시 서구 구덕로193번길 25, (아미동2가)",,1984-08-06,,,,,,,,,,,,,
19870128037,BBQ치킨,일반음식점,통닭(치킨),부산광역시 서구 암남동 537번지 2호,"부산광역시 서구 송도해변로 67, (암남동)",,1987-06-22,0,0,0,0,0,27.74,0,0,0,0,0,0,0
19880128019,가마솥대학통닭,일반음식점,통닭(치킨),부산광역시 서구 부민동2가 12번지 13호,"부산광역시 서구 구덕로193번길 12-10, (부민동2가)",,1988-04-18,0,,30.4,0,0,0,0,0,0,0,0,0,0
19880128025,멕시칸치킨,일반음식점,통닭(치킨),부산광역시 서구 남부민동 679번지 5호,"부산광역시 서구 충무대로 151-2, (남부민동)",,1988-05-03,,,22.5,,,,,0,0,0,0,0,0
19890128182,맥시칸치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동1가 182번지,"부산광역시 서구 구덕로280번길 69, (동대신동1가)",,1989-12-28,0,0,11.52,0,0,0,0,0,0,0,0,0,0
19930128064,교촌치킨,일반음식점,통닭(치킨),부산광역시 서구 암남동 64번지 2호 정림비치타운 상가동-104,"부산광역시 서구 감천로 271, 104호 (암남동, 정림비치타운 상가동)",051-231-9292,1993-06-04,,,22.7,,,,,0,0,0,0,0,0
19940128110,김삿갓,일반음식점,통닭(치킨),부산광역시 서구 부민동2가 15번지 5호,"부산광역시 서구 구덕로193번길 8, (부민동2가)",,1994-07-11,0,0,61.02,0,0,0,0,0,0,0,0,0,0
19960128155,닭대가리(대신점),일반음식점,통닭(치킨),부산광역시 서구 동대신동2가 313번지 154호 삼익A상가-112,"부산광역시 서구 구덕로296번길 31, 112호 (동대신동2가, 삼익A상가 )",051-256-8360,1996-10-28,2.99,0,19.78,0,0,0,1.69,0,0,0,0,0,0
19960128134,처갓집통닭,일반음식점,통닭(치킨),부산광역시 서구 남부민동 33번지 6호 홍아맨션-307,"부산광역시 서구 천마로 192, 307호 (남부민동, 홍아맨션)",,1996-09-05,12.92,0,48.11,0,0,4.9,5.94,0,0,0,0,0,0
19960128035,동키치킨,일반음식점,통닭(치킨),부산광역시 서구 암남동 534번지 17호,"부산광역시 서구 암남공원로 2, (암남동)",,1996-04-12,3.84,,15,,,0.8,,0,0,0,0,0,0
19960128157,짝꿍두마리치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동3가 146번지 1호,"부산광역시 서구 보수대로242번길 2-1, (동대신동3가)",,1996-10-28,5.6,,14.8,,,0.7,,0,0,0,0,0,0
19980128171,썬더치킨 동대신점,일반음식점,통닭(치킨),부산광역시 서구 동대신동2가 401번지 0호,"부산광역시 서구 구덕로296번길 40-1, (동대신동2가)",,1998-07-23,7.35,,48.77,,,,3.75,0,0,0,0,0,0
19980128183,카인드치킨,일반음식점,통닭(치킨),부산광역시 서구 초장동 54번지 2호,"부산광역시 서구 구덕로 149, (초장동)",,1998-08-14,5.25,,22.5,,,,,0,0,0,0,0,0
19990128287,땅땅치킨 대신동점,일반음식점,통닭(치킨),부산광역시 서구 서대신동2가 46번지,"부산광역시 서구 대영로45번길 30, (서대신동2가)",051-256-0077,1999-11-25,9.26,0,59.17,0,0,0,1.89,0,0,0,0,0,0
20000128102,꽃보닭챔피언떡볶이,일반음식점,통닭(치킨),부산광역시 서구 부용동2가 72번지 7호,"부산광역시 서구 부용로26번길 21, (부용동2가)",,2000-05-04,7.68,9.92,47.04,0,0,0,1.8,0,0,0,0,0,0
20010128083,썬더치킨,일반음식점,통닭(치킨),부산광역시 서구 충무동1가 17번지 8호,"부산광역시 서구 충무시장길 6, (충무동1가)",,2001-04-04,4.94,,17.04,,,,2.66,0,0,0,0,0,0
20010128306,동키치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동3가 121번지 9호,"부산광역시 서구 보수대로 248-1, (동대신동3가)",051-244-1552,2001-08-09,5.1,0,24.4,0,0,0,0,0,0,0,0,0,0
20010128340,지코바숯불치킨,일반음식점,통닭(치킨),부산광역시 서구 서대신동1가 104번지,"부산광역시 서구 부용로 14, (서대신동1가)",051-243-2882,2001-09-13,18.15,,23.01,,,,,0,0,0,0,0,0
20020128407,네네치킨,일반음식점,통닭(치킨),부산광역시 서구 토성동5가 42번지 3호,"부산광역시 서구 구덕로124번길 3, (토성동5가)",,2002-11-26,17.5,,8.7,,,17.36,,0,0,0,0,0,0
20020128183,지코바숯불치킨,일반음식점,통닭(치킨),부산광역시 서구 충무동2가 1번지 56호 외 1필지(1-59),"부산광역시 서구 천마로 230-2, (충무동2가)",,2002-06-07,13,,26,,,3,,0,0,0,0,0,0
20030128012,교촌치킨,일반음식점,통닭(치킨),부산광역시 서구 남부민동 457번지 18호,"부산광역시 서구 천마로 93, (남부민동)",051-257-3272,2003-01-07,18.13,0,18.63,0,0,7.4,0,0,0,0,0,0,0
20030128188,티바두마리치킨,일반음식점,통닭(치킨),부산광역시 서구 충무동2가 27번지 4호,"부산광역시 서구 천마로 225-2, (충무동2가)",,2003-06-19,5.85,0,14.48,0,0,,1.1,0,0,0,0,0,0
20030128395,맘스터치 서대신점,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 389번지 10호,"부산광역시 서구 구덕로321번길 10, (서대신동3가)",,2003-12-13,21.5,,64.3,0,0,10.07,4.24,0,0,0,0,0,0
20030128403,일삼오칠구,일반음식점,통닭(치킨),부산광역시 서구 충무동2가 6번지 2호,"부산광역시 서구 천마로 220, (충무동2가)",,2003-12-19,5.8,,16.43,,,,4.6,0,0,0,0,0,0
20040128147,홀릭,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 31번지 57호,"부산광역시 서구 꽃마을로 53, (서대신동3가)",,2004-04-22,14.87,,21.25,,,,,0,0,0,0,0,0
20040128297,치킨마트,일반음식점,통닭(치킨),부산광역시 서구 서대신동2가 125번지,"부산광역시 서구 대영로45번길 5, (서대신동2가)",051-241-6016,2004-08-04,4.68,,12.02,,,,,0,0,0,0,0,0
20050128075,유림가마솥통닭,일반음식점,통닭(치킨),부산광역시 서구 부민동2가 17번지 1호,"부산광역시 서구 구덕로193번길 12-17, (부민동2가)",,2005-04-06,9.75,,9.36,,,,,0,0,0,0,0,0
20050128102,비에이치씨 치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동2가 313번지 147호 b 삼익상가-106,"부산광역시 서구 대영로73번길 39, b동 106호 (동대신동2가, 삼익상가)",051-244-0268,2005-04-26,11.07,,18.45,,,,,0,0,0,0,0,0
20050128164,동대신점굽네치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동2가 261번지 6호,"부산광역시 서구 대영로85번길 48, (동대신동2가)",051-243-8292,2005-06-16,,,74,,,,,0,0,0,0,0,0
20060128151,칠칠켄터키,일반음식점,통닭(치킨),부산광역시 서구 암남동 145번지 2호,"부산광역시 서구 송도해변로 131, (암남동)",,2006-06-30,13.49,18.48,62.78,0,0,2.94,1.72,0,0,0,0,0,0
20060128187,굽네치킨,일반음식점,통닭(치킨),부산광역시 서구 암남동 578번지 5호 (1층),"부산광역시 서구 암남공원로 27, 1층 (암남동)",,2006-08-28,11.08,0,18.78,0,0,0,0,0,0,0,0,0,0
20070128133,치킨신드롬,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 256번지,"부산광역시 서구 망양로 34, (서대신동3가)",051-242-3401,2007-07-04,12.29,,10.46,,,,,0,0,0,0,0,0
20070128152,대신점굽네치킨,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 279번지 14호,"부산광역시 서구 구덕로345번길 13, (서대신동3가)",,2007-07-26,11.4,0,28.71,0,0,0,0,0,0,0,0,0,0
20070128189,호식이두마리치킨대신점,일반음식점,통닭(치킨),부산광역시 서구 동대신동1가 95번지 외 1필지,"부산광역시 서구 보수대로 173, (동대신동1가)",,2007-08-24,26.27,9.28,24.09,0,0,0,0,0,0,0,0,0,0
20080128082,티바두마리치킨,일반음식점,통닭(치킨),부산광역시 서구 동대신동2가 166번지 5호,"부산광역시 서구 보수대로188번길 20, (동대신동2가)",,2008-04-11,10.81,,14,,,,2.52,0,0,0,0,0,0
20080128102,썬더치킨,일반음식점,통닭(치킨),부산광역시 서구 서대신동2가 192번지,"부산광역시 서구 대영로45번길 43, (서대신동2가)",,2008-05-02,12.76,,40.29,,,9.36,,0,0,0,0,0,0
20080128181,동키치킨,일반음식점,통닭(치킨),부산광역시 서구 부민동1가 33번지 1호,"부산광역시 서구 대청로6번길 17, (부민동1가)",,2008-08-12,28.38,,43,,,,,0,0,0,0,0,0
20080128195,본스치킨＆명품명가안동찜닭,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 567번지 1호,"부산광역시 서구 망양로33번길 21, (서대신동3가)",,2008-08-21,16.5,,30.25,,,,6.15,0,0,0,0,0,0
20090128151,닭쟁이피자쟁이,일반음식점,통닭(치킨),부산광역시 서구 초장동 76번지 9호,"부산광역시 서구 초장로 42, (초장동)",,2009-07-08,0,0,37.19,0,0,0,2.6,0,0,0,0,0,0
20090128209,맥시칸치킨,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 254번지 12호,"부산광역시 서구 망양로 36-2, (서대신동3가)",051-242-7875,2009-09-04,13.23,,25.87,,,,0.9,0,0,0,0,0,0
20100128129,호식이두마리치킨,일반음식점,통닭(치킨),부산광역시 서구 암남동 64번지 1호 삼성비치타운-206,"부산광역시 서구 감천로 261, 206호 (암남동, 삼성비치타운)",051-254-3002,2010-05-31,19.14,,18.63,,,,5.28,0,0,0,0,0,0
20100128233,구이오감치킨(서대신점),일반음식점,통닭(치킨),부산광역시 서구 서대신동2가 190번지,"부산광역시 서구 대영로45번길 39-4, (서대신동2가)",051-255-9253,2010-11-02,17.19,,56.7,,,,,0,0,0,0,0,0
20110128117,비비큐 대신점,일반음식점,통닭(치킨),부산광역시 서구 서대신동1가 50번지 7호,"부산광역시 서구 부용로 15-1, (서대신동1가)",,2011-05-20,5.61,0,20.79,0,0,0,0,0,0,0,0,0,0
20110128135,노랑통닭(대신점),일반음식점,통닭(치킨),부산광역시 서구 동대신동1가 130번지 2호,"부산광역시 서구 대영로 70-1, (동대신동1가)",,2011-06-13,11,,53.61,,,9.44,6.51,0,0,0,0,0,0
20120128130,컬투치킨(송도사랑점),일반음식점,통닭(치킨),부산광역시 서구 암남동 595번지 301 풍림아이원-106,"부산광역시 서구 암남공원로 39, 301동 106호 (암남동, 풍림아이원)",051-245-9282,2012-06-19,13.77,0,68.41,0,0,10.36,0,0,0,0,0,0,0
20130128089,로빈슨닭강정,일반음식점,통닭(치킨),부산광역시 서구 토성동5가 40번지 9호,"부산광역시 서구 구덕로 126, (토성동5가)",,2013-04-09,33.56,0,2.25,0,0,0,1.05,0,0,0,0,0,0
20130128240,썬더치킨(동아대병원점),일반음식점,통닭(치킨),부산광역시 서구 동대신동3가 85번지 16호 1층,"부산광역시 서구 망양로 99, 1층 (동대신동3가)",,2013-11-21,11.66,,58.4,,,3.74,,0,0,0,0,0,0
20130128270,옛날통닭 안동찜닭,일반음식점,통닭(치킨),부산광역시 서구 남부민동 440번지 5호,"부산광역시 서구 해돋이로 36, (남부민동)",051-247-7847,2013-12-26,26.24,,,,,,,0,0,0,0,0,0
20140128021,네네치킨대신점,일반음식점,통닭(치킨),부산광역시 서구 서대신동3가 307번지 2호 2층,"부산광역시 서구 망양로 28, 2층 (서대신동3가)",,2014-01-27,10.76,,66.39,,,,5.29,0,0,0,0,0,0
20150128110,용하 옛날통닭,일반음식점,통닭(치킨),부산광역시 서구 충무동3가 1번지 17호 1층,"부산광역시 서구 충무대로267번길 15, 1층 (충무동3가)",051-248-0882,2015-05-14,6.8,,25.75,,,,,0,0,0,0,0,0
19740129012,오븐에꾸운닭,일반음식점,통닭(치킨),부산광역시 동구 초량동 197번지 17호,"부산광역시 동구 초량로 17, (초량동)",,1974-11-29,,,,,,,,0,0,0,0,0,0
19760129021,교촌,일반음식점,통닭(치킨),부산광역시 동구 초량동 489번지 4호,"부산광역시 동구 중앙대로209번길 6, (초량동)",,1976-02-28,10,,47.5,,,,,0,0,0,0,0,0
19790129005,태화통닭,일반음식점,통닭(치킨),부산광역시 동구 범일동 147번지 1호,"부산광역시 동구 정공단로 49, (범일동)",,1979-04-03,,,12.25,,,,,0,0,0,0,0,0
19810129005,멕시카나치킨,일반음식점,통닭(치킨),"부산광역시 동구 초량동 46번지 6호 , 46-24","부산광역시 동구 고관로13번길 3, (초량동,, 46-24)",,1981-01-28,,,34.08,,,,,0,0,0,0,0,0
19830129019,맥시칸수정A체인,일반음식점,통닭(치킨),부산광역시 동구 수정동 1번지 117호,"부산광역시 동구 중앙대로371번길 8, (수정동)",,1983-05-18,6.21,,17.55,,,,,0,0,0,0,0,0
19830129066,화성통삼겹,일반음식점,통닭(치킨),부산광역시 동구 초량동 207번지 9호,"부산광역시 동구 초량로 5, (초량동)",,1983-12-27,,,,,,,,0,0,0,0,0,0
19830129006,거창통닭,일반음식점,통닭(치킨),부산광역시 동구 수정동 189번지,,,1983-02-18,3.24,,16.56,,,,,0,0,0,0,0,0
19850129082,초량화닭,일반음식점,통닭(치킨),부산광역시 동구 초량동 379번지 3호,"부산광역시 동구 중앙대로209번길 10-20, (초량동)",,1985-08-16,5.3,,11.8,,,,,0,0,0,0,0,0
19850129094,멕켄치킨,일반음식점,통닭(치킨),부산광역시 동구 범일동 1307번지 1호 1308-1,"부산광역시 동구 범곡북로 4, (범일동,1308-1)",,1985-09-13,7.02,,28.86,,,,,0,0,0,0,0,0
19860129041,오꾸닭,일반음식점,통닭(치킨),부산광역시 동구 범일동 833번지 4호,"부산광역시 동구 조방로49번길 16, (범일동)",,1986-07-02,,,46,,,,,0,0,0,0,0,0
19860129055,두리아,일반음식점,통닭(치킨),부산광역시 동구 수정동 231번지 21호,"부산광역시 동구 고관로 135, (수정동)",051-326-2280,1986-07-19,,,39.09,,,,,0,0,0,0,0,0
19870129119,치킨스트롬,일반음식점,통닭(치킨),"부산광역시 동구 초량동 43번지 9호 ,34, 44","부산광역시 동구 고관로 27, (초량동,,34, 44)",051-467-3231,1987-12-08,,,26.8,,,,,0,0,0,0,0,0
19890129130,할매집통닭,일반음식점,통닭(치킨),부산광역시 동구 수정동 189번지 6호,"부산광역시 동구 진성로9번길 28, (수정동)",,1989-09-11,,,7.16,,,,,0,0,0,0,0,0
19900129002,맥시칸양념통닭,일반음식점,통닭(치킨),부산광역시 동구 범일동 1430번지 38호,"부산광역시 동구 성북로 59-1, (범일동)",051-647-9559,1990-01-11,,,24.28,,,,,0,0,0,0,0,0
19910129072,처갓집양념통닭,일반음식점,통닭(치킨),부산광역시 동구 초량동 460번지 5호,"부산광역시 동구 초량로13번길 68, (초량동)",051-442-3363,1991-07-04,,,20.46,,,,,0,0,0,0,0,0
19910129175,멕시칸양념통닭,일반음식점,통닭(치킨),부산광역시 동구 범일동 1508번지 74호,"부산광역시 동구 범내로 40-1, (범일동)",051-633-6616,1991-12-31,6,,10.7,,,,,0,0,0,0,0,0
19920129162,제임스통닭,일반음식점,통닭(치킨),부산광역시 동구 수정동 1181번지 5호,"부산광역시 동구 수정공원남로 32, (수정동)",,1992-09-24,,,10.5,,,,,0,0,0,0,0,0
19930129021,와우치킨,일반음식점,통닭(치킨),부산광역시 동구 초량동 229번지 1호,"부산광역시 동구 중앙대로231번길 30, (초량동)",,1993-03-05,,,5.28,,,,,0,0,0,0,0,0
19930129043,캐빈,일반음식점,통닭(치킨),부산광역시 동구 범일동 658번지 27호,"부산광역시 동구 범일일길 18-2, (범일동)",,1993-04-14,,,23.61,,,,,0,0,0,0,0,0
19930129325,멕켄치킨,일반음식점,통닭(치킨),부산광역시 동구 범일동 833번지 5호,"부산광역시 동구 조방로49번길 18-1, (범일동)",,1993-11-05,,,6.3,,,,,0,0,0,0,0,0
19940129045,목화풍류,일반음식점,통닭(치킨),"부산광역시 동구 초량동 111번지 4호 , 111-5","부산광역시 동구 초량상로 107, (초량동,, 111-5)",,1994-03-16,,,49.64,,,,,0,0,0,0,0,0
19950129163,돈키돈키치킨,일반음식점,통닭(치킨),부산광역시 동구 초량동 619번지 5호,"부산광역시 동구 대영로243번길 14, (초량동)",,1995-07-24,,,56.1,,,,,0,0,0,0,0,0
19960129197,두존치킨,일반음식점,통닭(치킨),"부산광역시 동구 초량동 711번지 6호 , 711-7","부산광역시 동구 고관로29번길 65, (초량동,, 711-7)",,1996-11-15,,,16,,,,,0,0,0,0,0,0
19970129042,수정포차,일반음식점,통닭(치킨),부산광역시 동구 수정동 1177번지 17호,"부산광역시 동구 수정공원남로 45-1, (수정동)",,1997-03-25,6.12,,9.86,,,,,0,0,0,0,0,0
19970129213,텍사스통닭,일반음식점,통닭(치킨),부산광역시 동구 초량동 495번지 1호,"부산광역시 동구 대영로243번길 87, (초량동)",051-781-2199,1997-09-01,8.4,,20,,,,3,0,0,0,0,0,0
